	Locustag	Gene	Description	FeatureType	1276	1968	1970	983
24	DN756_00145		hypothetical protein	CDS	13.792920658812866	18.380012881172863	10.522903493873335	13.112935055943867
25	DN756_00150		DUF3053 domain-containing protein	CDS	139.2630721891173	190.68026943962198	163.545403898436	156.24635203506168
26	DN756_00155		PTS mannitol transporter subunit IICBA	CDS	120.18375924946899	140.91776204694466	131.86857610693866	129.361099447639
27	DN756_00160		mannitol-1-phosphate 5-dehydrogenase	CDS	114.44507690943199	131.479117608625	111.94150023439006	125.72157125690633
28	DN756_00165		MltR family transcriptional regulator	CDS	24.836532113004864	25.402423407456297	18.710204549278632	25.18821794858387
29	DN756_00170		YibL family ribosome-associated protein	CDS	33.95703357631486	21.916443777540398	24.75792302802567	24.2641553540289
30	DN756_00175		hypothetical protein	CDS	12.7019260484252	11.4284918995945	18.324776963750367	11.167656927825192
31	DN756_00180		hypothetical protein	CDS	1.1370714278841498	0.9105328488135666	1.378659267684114	0.46870736669484936
32	DN756_00185		HAMP domain-containing protein	CDS	2.8666258871247066	2.0474121757745265	3.590420170954623	2.25339132188491
33	DN756_00190		superoxide dismutase [Mn]	CDS	451.3526615724154	505.04435537097	521.3485540038273	344.1107396649474
34	DN756_00195		sulfurtransferase FdhD	CDS	68.42298881662417	64.19822859150581	68.03543537670232	63.97901278092346
35	DN756_00200		sulfate ABC transporter substrate-binding protein	CDS	2629.7781943610767	2378.5140301481265	2382.25029888047	2424.8254910778064
36	DN756_00205	fdnG	formate dehydrogenase-N subunit alpha	CDS	6590.192243695729	6964.116980719787	6161.401533904994	7374.407051122626
37	DN756_00210	fdxH	formate dehydrogenase subunit beta	CDS	928.7045790145953	948.756610891255	888.9132187285087	1055.5894173500353
38	DN756_00215		formate dehydrogenase cytochrome b556 subunit	CDS	704.4985294770404	719.4817253628111	649.4682692335547	831.313379599343
39	DN756_00220	fdhE	formate dehydrogenase accessory protein FdhE	CDS	744.1681749671184	669.9180931880843	648.580222589046	727.0775801984447
40	DN756_00225		L-selenocysteinyl-tRNA(Sec) synthase	CDS	663.1771355387119	670.075064277131	622.53082783944	687.8872375053543
41	DN756_00230	selB	selenocysteinyl-tRNA-specific translation elongation factor SelB	CDS	571.706502498817	617.3763132356763	487.4513488963753	578.0709747918163
42	DN756_00235		Tn3 family transposase	CDS	1.2184012901719765	0.9888378037411704	1.5635160544079698	0.9689586871899577
43	DN756_00240		hypothetical protein	CDS	21.3832868004876	23.002777042040066	22.275949300464234	16.69902989629013
44	DN756_00245		DUF4225 domain-containing protein	CDS	0.8485121210215857	1.0765412206982365	0.9269606270270869	0.7479542722858924
45	DN756_00255		hypothetical protein	CDS	3.34525029751419	2.5097984311686665	2.2588600564244703	2.0367051872097433
46	DN756_00260	mdfA	MdfA family multidrug efflux MFS transporter	CDS	101.10663470037106	135.62833269039234	120.94920967673367	131.261894013992
47	DN756_00265		transposase	CDS	9.324739711619623	7.863776227086144	6.80626029871294	7.7041472837877025
48	DN756_00270		hypothetical protein	CDS	1.304396305504557	1.1245300900993354	0.7810346733118481	1.0220387112569405
49	DN756_00275		acyltransferase	CDS	36.318123184396036	29.668210923438565	32.66000088628727	34.3878612108802
50	DN756_00280		fimbrial protein	CDS	0.9311958524063612	0.8787363124063647	0.4249025645082107	0.4579393315614877
51	DN756_00285		fimbrial biogenesis outer membrane usher protein	CDS	5.643341929215109	5.66318571879706	6.2793766854464765	6.0432995365779165
52	DN756_00290		molecular chaperone	CDS	1.7509415453092665	2.7398720960062164	2.516933442716645	2.489904145346783
53	DN756_00295		fimbrial protein	CDS	3.72297131384544	5.6166765279970505	4.896185581742087	3.286677446781517
54	DN756_00300	xylB	xylulokinase	CDS	152.23427807202998	158.9236870222543	153.50077371806898	161.73512646552265
55	DN756_00305	xylA	xylose isomerase	CDS	23.14507365871337	32.22795947739753	21.7161659457591	29.89924558702843
56	DN756_00310		D-xylose ABC transporter substrate-binding protein	CDS	2.8667783862660072	4.915291138153973	3.0337660549531766	3.7225803208721593
57	DN756_00315		xylose ABC transporter ATP-binding protein	CDS	3.894962073769753	4.69982202835753	5.167963025384817	4.838687480232303
58	DN756_00320		sugar ABC transporter permease	CDS	9.877618911270437	9.177782467816577	8.765909787300266	9.487070312969694
59	DN756_00325		helix-turn-helix domain-containing protein	CDS	23.510438730855935	34.658850748436436	21.565255610727732	31.881543398924105
60	DN756_00330		DUF4102 domain-containing protein	CDS	73.93081667013243	80.31584639557347	72.30013430313744	76.38567911412404
61	DN756_00335		SAM-dependent methyltransferase	CDS	93.20898110198404	146.115316758019	111.50322701887933	108.717151688349
62	DN756_00340		hypothetical protein	CDS	4.299347513557127	6.478630833269716	5.055623880140433	7.395967277578273
63	DN756_00345		DUF262 domain-containing protein	CDS	27.5787741539288	33.8639974148465	41.6411559101176	31.0868900905995
64	DN756_00350		SAM-dependent DNA methyltransferase	CDS	27.711319302840966	27.835393473180034	24.4575753766392	23.7106043953562
65	DN756_00355		IS3 family transposase	CDS	15.3379708099851	13.608823742243198	13.150579243071467	14.8880905061067
66	DN756_00360		ATP-binding cassette domain-containing protein	CDS	2.6175280099334732	3.2790299641908334	2.7306331608692465	3.491203214549767
67	DN756_00365		enterobactin ABC transporter permease	CDS	4.568775696673126	3.78969915377636	4.122763191547601	5.120096396329147
68	DN756_00370		ABC transporter permease	CDS	4.071174849455817	3.6730970839878103	5.160207821206594	4.30776692815827
69	DN756_00375		siderophore ABC transporter substrate-binding protein	CDS	17.950848027014732	14.377983674709633	18.55896679043663	16.599382629154068
70	DN756_00380		ATP-grasp domain-containing protein	CDS	10.743755058541167	8.766630693725572	11.818013074996301	8.966902528113922
71	DN756_00385		EamA/RhaT family transporter	CDS	1.0623727720806844	0.9497744039514586	1.6427875276595367	1.1299176680033385
72	DN756_00400	hutU	urocanate hydratase	CDS	375.03880443406905	386.46804839912534	413.9173497840587	439.72499902832465
73	DN756_00405	hutH	histidine ammonia-lyase	CDS	371.59456361840665	400.3627839405017	365.7662856478293	462.77688167452334
74	DN756_00410		amino acid permease	CDS	50.11057551941874	45.943560460707	50.896631888634126	60.04206305678853
75	DN756_00415		alpha/beta hydrolase	CDS	111.3117721992895	115.82117809050699	127.42069824355967	113.24951939108632
76	DN756_00420		kdo(2)-lipid A phosphoethanolamine 7''-transferase	CDS	151.689914817128	165.45527205380867	156.2219772787383	179.60949734645797
77	DN756_00425	uhpA	transcriptional regulator UhpA	CDS	87.22820258603822	89.7892506761943	78.0097949208351	94.0107024324764
78	DN756_00430	uhpB	signal transduction histidine-protein kinase/phosphatase UhpB	CDS	184.34865107925802	192.9389001191897	177.44828896478066	174.32709535396535
79	DN756_00435		MFS transporter family glucose-6-phosphate receptor UhpC	CDS	72.98015524615595	80.22818497066397	67.95333239792546	81.05954000790683
80	DN756_00445		filamentous hemagglutinin N-terminal domain-containing protein	CDS	0.9670380828106936	1.137824539517508	1.032026804021342	1.1972665705219996
81	DN756_00450		ShlB/FhaC/HecB family hemolysin secretion/activation protein	CDS	7.270937672771773	5.177982060143143	6.81460844046909	6.2444715219125735
82	DN756_00455		hypothetical protein	CDS	1.2372244985993452	1.5600862731232767	1.2073839456043334	1.0712530841208079
83	DN756_00460		ABC transporter substrate-binding protein	CDS	85.5184194259096	77.98176293873082	99.6817657186668	79.63231541231654
84	DN756_00465	dppB	dipeptide ABC transporter permease DppB	CDS	14.267781280123666	19.130573526507465	20.987308936371633	14.895852344343167
85	DN756_00470	dppC	dipeptide ABC transporter permease DppC	CDS	21.2945847762202	23.018915711497936	20.46714225432733	22.361630362304236
86	DN756_00475		dipeptide ABC transporter ATP-binding protein	CDS	29.473366620408367	30.643815751388033	27.006491579146132	33.84856194350493
87	DN756_00480		ABC transporter ATP-binding protein	CDS	37.339054842483996	35.66318388395957	37.57810886451183	34.68176855228827
88	DN756_00485		cellulase	CDS	32.994975741938596	30.45648055405353	32.772116099453164	27.817545004477335
89	DN756_00490	hmsP	biofilm formation regulator HmsP	CDS	185.63771667970602	163.24079151930434	182.68173846906768	162.23230673111067
90	DN756_00495		porin	CDS	1.8423592171001066	5.585469665729653	2.7556063138166103	4.1106076549114565
91	DN756_00500		pectate lyase	CDS	83.24334356885684	136.147544492438	103.96632706786762	109.54154982861333
92	DN756_00505		discoidin domain-containing protein	CDS	17.334110492183964	35.09897826916616	19.307842262087537	29.69074912456797
93	DN756_00510		dicarboxylate/amino acid:cation symporter	CDS	92.06594102497245	95.05246929715474	101.59781437232209	107.36622969276415
94	DN756_00515		insulinase family protein	CDS	674.6099987998186	552.149105516775	546.989828410755	566.6932744009796
95	DN756_00520		sugar kinase	CDS	124.609609161808	171.11663405248797	134.47090754532965	166.35627226563966
96	DN756_00525		4-oxalocrotonate tautomerase family protein	CDS	6.678002865543621	6.751898021008739	6.177460075510276	5.607813014900124
97	DN756_00530		cyclic-guanylate-specific phosphodiesterase	CDS	7.430729979941764	6.4672812447803025	5.98158313476139	8.67858548730412
98	DN756_00535		AsmA family protein	CDS	56.91914166177577	57.5910082555338	60.62842845483117	62.04318290939054
99	DN756_00540		CDP-diacylglycerol diphosphatase	CDS	26.4889809134968	31.004739730358867	41.574681251264735	20.728504889520234
100	DN756_00545	yhjD	inner membrane protein YhjD	CDS	26.36668970411067	30.37874579168683	42.46529613801554	21.906792743996334
101	DN756_00550		autotransporter outer membrane beta-barrel domain-containing protein	CDS	5.9986205378519974	4.398415434904987	6.487277681405334	4.046301225902623
102	DN756_00555		DUF3289 family protein	CDS	2.1636019695604998	2.4242258405789503	2.45874501557668	2.14718925635531
103	DN756_00560		DUF943 family protein	CDS	0.343079426623417	0.5883860149325527	0.5377977467805762	0.45922087906325304
104	DN756_00570		glycerate kinase	CDS	10.090271012303438	9.816040739452541	10.778676402174844	9.859125127860016
105	DN756_00575		GntP family permease	CDS	4.7157623590391635	5.617907995253479	5.326690474637673	6.63113327365883
106	DN756_00580		hypothetical protein	CDS	10.606847567089403	10.371692815511748	11.177331717644511	8.985516436275006
107	DN756_00585		XRE family transcriptional regulator	CDS	24.788346110775336	34.12028959220243	24.290632967994537	30.555652488819003
108	DN756_00590		glutathione-disulfide reductase	CDS	331.1376964912033	393.76480372250063	357.4256534130743	391.3916244409597
109	DN756_00595	rlmJ	23S rRNA (adenine(2030)-N(6))-methyltransferase RlmJ	CDS	117.71912907636401	114.11040433580767	105.86656757998833	113.54628391407368
110	DN756_00600		oligopeptidase A	CDS	241.58956075363065	261.5605513844923	236.41534371763768	259.53876252156397
111	DN756_00605	rsmJ	16S rRNA (guanine(1516)-N(2))-methyltransferase RsmJ	CDS	28.074562176106966	38.8037924789151	32.40165477631003	28.63433981376183
112	DN756_00610		type I secretion C-terminal target domain-containing protein	CDS	9.486200983276227	9.302068413030822	10.721452446891083	8.26384434846298
113	DN756_00615		NADP-specific glutamate dehydrogenase	CDS	803.8076666644497	818.9137280652603	982.4426657575664	754.4478413958867
114	DN756_00620		universal stress protein A	CDS	1716.1785979009635	1824.6843097308035	1448.7820746691134	2071.06277248654
115	DN756_00625	uspB	universal stress protein UspB	CDS	13.530250994815418	17.187883227385598	8.34564507932325	17.1151786348199
116	DN756_00630		inorganic phosphate transporter	CDS	574.5312459950974	780.9586292688823	546.890445573166	796.0595855615011
117	DN756_00635		NAD(P)/FAD-dependent oxidoreductase	CDS	68.5710602501568	72.50731663391561	73.41959283967664	80.30721017008129
118	DN756_00640		hybrid sensor histidine kinase/response regulator	CDS	24.330179318944868	28.621524467337235	26.821851514583	28.11205203579587
119	DN756_00645		sugar ABC transporter ATP-binding protein	CDS	1.229996926431537	1.2163084220728966	1.2046012316856167	0.9827691958331531
120	DN756_00650		ribose ABC transporter permease	CDS	5.936726797593333	8.198110534941039	5.090399092545947	7.666159315865687
121	DN756_00655		transcriptional regulator	CDS	19.2695419854206	30.658529950340068	17.542777818582334	27.697694759104333
122	DN756_00660		D-lyxose/D-mannose family sugar isomerase	CDS	17.327181467487467	27.92363916627203	18.887806167327934	28.172872889401503
123	DN756_00665		ketose 1,6-bisphosphate aldolase	CDS	38.462730710692064	51.131360311761625	38.74420802637143	48.3197645681798
124	DN756_00670		adenosine kinase	CDS	41.2715230063307	53.884179901139305	39.86608580343013	45.79989405754316
125	DN756_00675		DNA-binding response regulator	CDS	40.589119303573796	45.2191904114648	35.061473154973605	49.54318727098877
126	DN756_00685		hypothetical protein	CDS	0.8830004823289667	0.6703559106442469	0.6002597060912019	1.3016809605630122
127	DN756_00690		pirin family protein	CDS	23.181367664989434	25.3934815453845	20.8838001688115	25.510256221614867
128	DN756_00695	gntR	HTH-type transcriptional regulator GntR	CDS	139.271567210393	164.80728675128435	154.68951210809402	146.33748927132498
129	DN756_00700		gluconate transporter	CDS	29.594608229720933	22.117899550994732	17.3271097273886	23.670324491069266
130	DN756_00705		gluconokinase	CDS	13.420609397317266	8.371975444348026	8.524205260709804	9.443039415423653
131	DN756_00710		type IV secretion protein Rhs	CDS	2.7756592619464633	0.7168651014442563	0.8939298555842137	0.8740097760827233
132	DN756_00720		hypothetical protein	CDS	2.4753518196830364	1.4548889999194066	1.6613092631520934	1.0155946971351797
133	DN756_00725		YhgN family NAAT transporter	CDS	15.343999199974698	12.967179746712233	14.791661759097133	12.09134518736298
134	DN756_00730	asd	aspartate-semialdehyde dehydrogenase	CDS	329.5026133669767	251.85967835221064	311.9132074506667	301.16639349865363
135	DN756_00735		hypothetical protein	CDS	3.7155897840180363	2.38799807845889	1.5780250903582864	2.4584232176399836
136	DN756_00740		hypothetical protein	CDS	2.0084762739535567	0.8959361038628751	0.990758592472153	1.4864430656380103
137	DN756_00745		IS66 family insertion sequence hypothetical protein	CDS	0.7721545978385613	0.5202458069631796	0.5002029199063994	0.41692989882745035
138	DN756_00750		invasin-like inverse autotransporter protein	CDS	195.6496563185783	225.33264713609069	208.040400910334	198.74283789431365
139	DN756_00755		sensor histidine kinase	CDS	35.530727835264635	41.6408286998139	34.122149157869295	40.39234581549314
140	DN756_00760	glgB	1,4-alpha-glucan branching protein GlgB	CDS	562.793988825275	588.0588691119243	629.861474657566	522.4646958274824
141	DN756_00765		glycogen debranching enzyme	CDS	502.2637448017137	658.5038734929693	541.380139639923	578.3979883202979
142	DN756_00770	glgC	glucose-1-phosphate adenylyltransferase	CDS	412.82113496683536	598.9759940755076	433.37896665467537	529.2512128394324
143	DN756_00775	glgA	glycogen synthase GlgA	CDS	392.22305002011495	531.9815714223021	465.43248540705235	465.22298196968296
144	DN756_00780		glycogen phosphorylase	CDS	2558.6696444490135	3945.733738143797	2764.290807493	3578.656709835743
145	DN756_00785		glycerol-3-phosphate dehydrogenase	CDS	79.17702227193934	92.9574853242512	79.61034255517157	86.16502564583652
146	DN756_00790		hypothetical protein	CDS	1.3690056932867167	0.5260952376506657	0.6341811482903693	0.5321753500952807
147	DN756_00795		DUF3289 family protein	CDS	0.9185448945211484	0.45370118703700574	0.2904421001961483	0.29089540372843997
148	DN756_00800		DUF943 family protein	CDS	0.767335487134211	1.2901821512876466	1.12759333587473	0.722495265505302
149	DN756_00805		hypothetical protein	CDS	0.316874688368643	1.1883549817979666	0.997103989416046	0.45059384573787264
150	DN756_00810		transposase	CDS	11.322372131174989	20.430154912104168	13.481740727706566	11.159108188508407
151	DN756_00815		DeoR/GlpR family transcriptional regulator	CDS	213.37252434401898	260.276057673284	223.839178532948	251.42759009823234
152	DN756_00820	glpG	rhomboid family intramembrane serine protease GlpG	CDS	222.81114797563336	239.434825764057	215.24560742419567	243.496246454599
153	DN756_00825	glpE	thiosulfate sulfurtransferase GlpE	CDS	99.40183328129667	82.9314620946449	77.3781225353984	90.19679639697506
154	DN756_00830		helix-turn-helix transcriptional regulator	CDS	573.3955237713634	595.112116181985	480.94099033356633	709.2292604415006
155	DN756_00835		maltodextrin phosphorylase	CDS	2744.02626928749	2777.7263011848204	1598.4592982118866	3555.49920279916
156	DN756_00840		4-alpha-glucanotransferase	CDS	1594.1530491699302	2056.8532912074634	956.548717689711	2526.4713466409135
157	DN756_00845		Fe-S biogenesis protein NfuA	CDS	57.52458928788874	57.84600912386037	57.77613509780747	71.62042740266924
158	DN756_00850	gntX	DNA utilization protein GntX	CDS	2.39191922347351	5.938172214111806	4.5428408679960866	4.82177147198582
159	DN756_00855	bioH	pimeloyl-[acyl-carrier protein] methyl ester esterase	CDS	32.13502048379873	28.5346417711246	33.2971814706571	32.075427183745866
160	DN756_00860		DUF1471 domain-containing protein	CDS	4.698147700637893	4.85158138361784	5.53188723891662	4.3203016300824
161	DN756_00865		ferrous iron transporter C	CDS	1.334968378591937	1.0911371933693188	1.81302457678324	1.4553574816462334
162	DN756_00870	feoB	Fe(2+) transporter permease subunit FeoB	CDS	50.52402873069764	31.309197387904863	75.96261656695424	33.8702049764999
163	DN756_00875		ferrous iron transporter A	CDS	17.5627485630388	5.392512995193833	19.894473013326866	7.566275212270933
164	DN756_00880		RNA-binding transcriptional accessory protein	CDS	327.01780611634734	400.2497152216453	294.548094387557	414.91559097264434
165	DN756_00885	greB	transcription elongation factor GreB	CDS	13.046068706003831	11.310053840508466	12.759307597501767	12.188851452691068
166	DN756_00890	ompR	two-component system response regulator OmpR	CDS	361.51929735530234	292.58563854578733	371.0797161731143	274.99976078856236
167	DN756_00895	envZ	two-component system sensor histidine kinase EnvZ	CDS	353.81240013808105	325.0311218124093	340.2376882693566	299.840275156706
168	DN756_00900	pckA	phosphoenolpyruvate carboxykinase (ATP)	CDS	1760.7880615101901	5074.57183392564	1338.02852640659	4567.520414126
169	DN756_00905	hslO	Hsp33 family molecular chaperone HslO	CDS	210.21437544057233	202.10794293531032	225.976136285145	209.23001559188097
170	DN756_00910		ribosome-associated heat shock protein Hsp15	CDS	43.798682215287634	42.571163614310166	47.82801682017553	46.8578981792078
171	DN756_00915		GMP/IMP nucleotidase	CDS	138.25628557226833	120.02816052025234	124.81514381342932	125.42570438407732
172	DN756_00920		intracellular growth attenuator family protein	CDS	140.715109692494	139.81271112150867	147.250033905567	142.18044039033802
173	DN756_00925	nudE	ADP compounds hydrolase NudE	CDS	25.30672539349347	14.097497793872568	21.536207848194863	15.832407623426667
174	DN756_00930		DNA adenine methylase	CDS	2.4902666492200036	2.5819598906184935	2.4945216003883264	2.6197985508662103
175	DN756_00935		tail assembly chaperone	CDS	1.8864857998161935	2.4526522732719633	2.8497261378857233	2.3513406891063466
176	DN756_00940		phage tail protein	CDS	6.543667161062797	5.986981804257321	6.04069913320759	5.60477054139029
177	DN756_00945		DUF2313 domain-containing protein	CDS	0.7391726047694344	1.1422565375099725	1.17520694436781	0.8442057395927121
178	DN756_00950		baseplate J/gp47 family protein	CDS	2.8783754810438604	2.1792613660004165	2.4338409825902865	2.13037829159792
179	DN756_00955		hypothetical protein	CDS	1.540392907457121	0.8329941788147277	0.9572824856511334	0.361687864254668
180	DN756_00960		phage baseplate assembly protein V	CDS	22.508008005735235	20.78521306792713	22.43915511299187	20.004710854165037
181	DN756_00965		phage tail protein	CDS	139.439730906602	155.58733220735633	153.22990221597934	156.266029795853
182	DN756_00970		multidrug DMT transporter permease	CDS	245.30820700538735	221.773967397171	244.56946855176068	204.1833988488353
183	DN756_00975		phage tail tape measure protein	CDS	54.72376125687921	62.35265665112516	58.41290847472917	61.03712819884793
184	DN756_00980		hypothetical protein	CDS	0.690075141466838	0.8228294318564989	0.5658560279639433	0.5628178321936878
185	DN756_01010		glycoside hydrolase family 19 protein	CDS	0.6385677581824923	0.41138359297521565	0.5644831212795577	0.35650438893685266
186	DN756_01015		hypothetical protein	CDS	35.86236339551066	39.45602681581747	38.583420603402004	39.2048827823092
187	DN756_01020		hypothetical protein	CDS	24.24901777445753	26.274185376711262	27.170124927476333	25.727754052417904
188	DN756_01025		regulatory protein GemA	CDS	11.868479797563566	14.053715369110902	13.788657708115332	11.31881237130053
189	DN756_01030		hypothetical protein	CDS	22.482267215715666	23.169856662852634	21.047500108323863	20.3232597654431
190	DN756_01035		hypothetical protein	CDS	3.359561581297257	4.76122125661891	5.39649920329832	4.85507635179415
191	DN756_01040		hypothetical protein	CDS	2.14266738862268	2.3270702980563667	1.6097567562166635	2.3872296726160234
192	DN756_01045		hypothetical protein	CDS	4.222529575913604	5.404871586705085	6.029115732236853	4.992759345030554
193	DN756_01050		hypothetical protein	CDS	0.742033571363785	1.3151832721712016	1.145330421121908	0.8070982346747257
194	DN756_01055		hypothetical protein	CDS	0.7808892675037726	1.2038425034895532	1.4552218281168532	1.0807185630545852
195	DN756_01060		ANR family transcriptional regulator	CDS	2.3759555231222	3.0844177765445835	3.451840986589403	1.8735899366732698
196	DN756_01065		DUF2786 domain-containing protein	CDS	1.82910471346099	1.4654100575739966	1.610610526423013	1.8256513705284634
197	DN756_01075		DUF3164 family protein	CDS	3.5920936709015634	1.9974169718182135	3.0186640814249337	2.4087447341849266
198	DN756_01085		hypothetical protein	CDS	1.2393358711097944	0.6988982527793716	1.6649457472771567	1.2123796353647804
199	DN756_01090		ATPase	CDS	10.75385150663295	4.666429131627513	9.98424729574745	6.0178405297973265
200	DN756_01095		transposase	CDS	18.293462776143834	6.116770224112344	18.0252805537915	8.288485918333004
201	DN756_01100		transcriptional regulator	CDS	3.2125662803424704	0.7119608833133212	2.3136728320677897	0.7194738006932857
202	DN756_01105		transcriptional regulator	CDS	21.897754899799665	14.2962619903426	20.886769914258767	14.7753451237489
203	DN756_01110		carboxypeptidase/penicillin-binding protein 1A	CDS	239.534518268295	353.13906361347034	290.14819890979	348.9136684720124
204	DN756_01115		pilus assembly protein HofM	CDS	2.675208373019117	3.141625408067744	3.270992218268867	2.67940662384623
205	DN756_01120		pilus assembly protein PilN	CDS	1.1837597004641442	1.0005989110222095	1.117754375866634	1.2322120649341877
206	DN756_01125		hypothetical protein	CDS	0.6457960596094473	0.3923556223116693	0.6465742089997857	0.7807797735879177
207	DN756_01130		DUF2531 family protein	CDS	1.4122294535184565	1.8523269957101898	1.3445902232851665	1.9654963742706697
208	DN756_01135		hypothetical protein	CDS	3.378836565596373	2.7878609654073134	3.84590723713445	1.9663768372747032
209	DN756_01140	hofQ	DNA uptake porin HofQ	CDS	29.125325681046334	33.61138479135863	36.16794654418677	32.4329820245085
210	DN756_01145	aroK	shikimate kinase AroK	CDS	404.89492826718697	490.9414262120817	450.2375850217177	502.39141191286427
211	DN756_01150		3-dehydroquinate synthase	CDS	479.53882353444834	625.196403842107	545.5834295218953	629.4332740592414
212	DN756_01155		SPOR domain-containing protein	CDS	393.75040969422133	416.767723367961	376.48832950251835	448.4447506406373
213	DN756_01160		adenine-specific DNA-methyltransferase	CDS	201.071905502389	236.4800361288103	185.878093314457	225.8747487394187
214	DN756_01165		hypothetical protein	CDS	40.06848478779266	49.015912165971365	35.12475666507953	52.05907181901807
215	DN756_01170		ribulose-phosphate 3-epimerase	CDS	181.36885930732333	219.43497672037333	170.24430437566332	226.95116615727
216	DN756_01175		phosphoglycolate phosphatase	CDS	129.25870758438	158.812222083872	126.001004058683	159.376606493065
217	DN756_01180	trpS	tryptophan--tRNA ligase	CDS	168.92643477024066	213.24076657096398	161.29903663829467	213.02061311434832
218	DN756_01185		siroheme synthase	CDS	83.20918600907727	85.71152722387676	83.27779440405037	80.94511960144284
219	DN756_01190	nirC	nitrite transporter NirC	CDS	31.547220611923763	30.177547349409565	28.278411877613166	28.52058978332367
220	DN756_01195	nirD	nitrite reductase small subunit NirD	CDS	10.709565973964244	10.562043350423304	8.369363237153806	9.654641377487403
221	DN756_01200		nitrite reductase large subunit	CDS	106.4887036700349	112.89902409959934	83.1164662148497	108.11222036837712
222	DN756_01205		cytosine deaminase	CDS	94.19614807708236	91.52734374061902	101.00425840499726	102.27974369225569
223	DN756_01210		MFS transporter	CDS	20.841713328213768	15.550969361097001	24.1585717922663	15.663243702483399
224	DN756_01215		TonB-dependent copper receptor	CDS	9.219325122176224	9.36583260338262	10.102712586996189	11.541388633932316
225	DN756_01220		LacI family DNA-binding transcriptional regulator	CDS	385.42146508136494	471.03732521719735	326.7005458869877	464.57707956921536
226	DN756_01225		6-phospho-beta-glucosidase	CDS	187.46370061807067	220.59170239483765	124.50869587649368	239.46549935367702
227	DN756_01230		peptidylprolyl isomerase A	CDS	195.160345398602	217.2510857194533	199.94560934537935	217.02829626910432
228	DN756_01235		DUF853 family protein	CDS	139.183873781033	143.762486951535	145.53363446194803	141.41735965240431
229	DN756_01240		aminodeoxychorismate synthase component II	CDS	82.5459106255514	70.26492265645646	81.1302399010531	67.14880034028977
230	DN756_01245		aspartate aminotransferase family protein	CDS	197.18770684372433	184.99293007489268	215.92743525135134	196.4794310810017
231	DN756_01250		hypothetical protein	CDS	405.2125629259217	371.285953518023	446.83257069297866	485.547078592526
232	DN756_01255		cAMP-activated global transcriptional regulator CRP	CDS	686.6075279542227	634.810784521805	638.6620211149497	764.9623591616777
